Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 (mean),CV F1 (std),Training Time (s)
Logistic Regression,0.7064622124863089,0.797979797979798,0.7015985790408525,0.7466918714555766,0.7852930728241564,0.7362856501340619,0.012662705361087706,0.024981021881103516
Random Forest,0.76013143483023,0.7567164179104477,0.9005328596802842,0.8223844282238443,0.8046663283430603,0.8100540916568972,0.012473730208726028,0.24193549156188965
Gradient Boosting,0.7634173055859803,0.7867768595041322,0.8454706927175843,0.815068493150685,0.811928444557219,0.8012976530486255,0.008257594804704099,1.23891019821167
Support Vector Machine,0.6725082146768894,0.7727272727272727,0.6642984014209592,0.7144221585482331,0.7574371986805379,0.7295039026696771,0.007651349408761464,5.3831095695495605
